mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
2170,1.19e-05,39.77,0.39770000000000005,0.39770000000000005,0.39770000000000005,signal_xsec.txt,parsed
2175,1.162e-05,40.06,0.4006,0.4006,0.4006,signal_xsec.txt,parsed
2180,1.134e-05,40.35,0.4035,0.4035,0.4035,signal_xsec.txt,parsed
2185,1.107e-05,40.64,0.4064,0.4064,0.4064,signal_xsec.txt,parsed
2190,1.08e-05,40.93,0.4093,0.4093,0.4093,signal_xsec.txt,parsed
2195,1.054e-05,41.22,0.4122,0.4122,0.4122,signal_xsec.txt,parsed
2200,1.029e-05,41.52,0.4152,0.4152,0.4152,signal_xsec.txt,parsed
2205,1.004e-05,41.83,0.4183,0.4183,0.4183,signal_xsec.txt,parsed
2210,9.803e-06,42.14,0.4214,0.4214,0.4214,signal_xsec.txt,parsed
2215,9.569e-06,42.45,0.42450000000000004,0.42450000000000004,0.42450000000000004,signal_xsec.txt,parsed
2220,9.341e-06,42.76,0.4276,0.4276,0.4276,signal_xsec.txt,parsed
2225,9.118e-06,43.08,0.43079999999999996,0.43079999999999996,0.43079999999999996,signal_xsec.txt,parsed
2230,8.901e-06,43.39,0.4339,0.4339,0.4339,signal_xsec.txt,parsed
2235,8.689e-06,43.72,0.4372,0.4372,0.4372,signal_xsec.txt,parsed
2240,8.483e-06,44.04,0.4404,0.4404,0.4404,signal_xsec.txt,parsed
2245,8.281e-06,44.37,0.4437,0.4437,0.4437,signal_xsec.txt,parsed
2250,8.084e-06,44.69,0.44689999999999996,0.44689999999999996,0.44689999999999996,signal_xsec.txt,parsed
2255,7.892e-06,45.03,0.45030000000000003,0.45030000000000003,0.45030000000000003,signal_xsec.txt,parsed
2260,7.705e-06,45.36,0.4536,0.4536,0.4536,signal_xsec.txt,parsed
2265,7.523e-06,45.69,0.4569,0.4569,0.4569,signal_xsec.txt,parsed
2270,7.345e-06,46.03,0.4603,0.4603,0.4603,signal_xsec.txt,parsed
2275,7.171e-06,46.37,0.4637,0.4637,0.4637,signal_xsec.txt,parsed
2280,7.001e-06,46.72,0.4672,0.4672,0.4672,signal_xsec.txt,parsed
2285,6.836e-06,47.06,0.4706,0.4706,0.4706,signal_xsec.txt,parsed
2290,6.674e-06,47.41,0.47409999999999997,0.47409999999999997,0.47409999999999997,signal_xsec.txt,parsed
2295,6.516e-06,47.76,0.47759999999999997,0.47759999999999997,0.47759999999999997,signal_xsec.txt,parsed
2300,6.363e-06,48.11,0.48109999999999997,0.48109999999999997,0.48109999999999997,signal_xsec.txt,parsed
2305,6.213e-06,48.46,0.48460000000000003,0.48460000000000003,0.48460000000000003,signal_xsec.txt,parsed
